onset_qL,measure,label,root_pc,size
0.0,1,B- (major seventh chord),10,4
0.25,1,B- (major seventh chord),10,4
0.5,1,B- (major seventh chord),10,4
0.75,1,B- (major seventh chord),10,4
1.0,1,B- (major seventh chord),10,4
1.25,1,B- (major seventh chord),10,4
1.5,1,B- (major seventh chord),10,4
1.75,1,B- (major seventh chord),10,4
2.0,1,B- (major seventh chord),10,4
2.25,1,B- (major seventh chord),10,4
2.5,1,D (minor triad),2,3
2.75,1,D (minor triad),2,3
3.0,1,D (minor triad),2,3
3.25,1,D (minor triad),2,3
3.5,1,D (minor triad),2,3
3.75,1,D (minor triad),2,3
0.0,2,D (minor triad),2,3
0.25,2,D (minor triad),2,3
0.5,2,D (minor triad),2,3
0.75,2,D (minor triad),2,3
1.0,2,D (minor triad),2,3
1.25,2,D (minor triad),2,3
1.5,2,D (minor triad),2,3
1.75,2,D (minor triad),2,3
2.0,2,D (minor triad),2,3
2.25,2,D (minor triad),2,3
2.5,2,D (minor triad),2,3
2.75,2,D (minor triad),2,3
0.0,3,D (minor triad),2,3
0.25,3,D (Major Sixth with octave doublings),2,2
0.5,3,D (Major Sixth with octave doublings),2,2
0.75,3,D (Major Sixth with octave doublings),2,2
1.0,3,D (Major Sixth with octave doublings),2,2
1.25,3,D (Major Sixth with octave doublings),2,2
1.5,3,D (minor triad),2,3
1.75,3,D (minor triad),2,3
2.0,3,D (minor triad),2,3
2.25,3,D (minor triad),2,3
2.5,3,D (Minor Third with octave doublings),2,2
2.75,3,D (Minor Third with octave doublings),2,2
0.0,4,D (Minor Third with octave doublings),2,2
0.25,4,D (Minor Third with octave doublings),2,2
0.5,4,D (Major Sixth with octave doublings),2,2
0.75,4,D (Major Sixth with octave doublings),2,2
1.0,4,D (Major Sixth with octave doublings),2,2
1.25,4,D (Major Sixth with octave doublings),2,2
1.5,4,D (minor triad),2,3
1.75,4,D (minor triad),2,3
2.0,4,D (minor triad),2,3
2.25,4,D (minor triad),2,3
2.5,4,D (Minor Third with octave doublings),2,2
2.75,4,D (Minor Third with octave doublings),2,2
0.0,5,D (Minor Third with octave doublings),2,2
0.25,5,D (Minor Third with octave doublings),2,2
0.5,5,D (Minor Third with octave doublings),2,2
0.75,5,D (multiple octaves),2,1
1.0,5,D (Minor Third with octave doublings),2,2
1.25,5,D (multiple octaves),2,1
1.5,5,D (incomplete dominant-seventh chord),2,3
1.75,5,D (Major Second with octave doublings),2,2
2.0,5,D (incomplete dominant-seventh chord),2,3
2.25,5,D (Major Second with octave doublings),2,2
2.5,5,G (major triad),7,3
2.75,5,B (Minor Third with octave doublings),11,2
0.0,6,G (major triad),7,3
0.25,6,B (Minor Third with octave doublings),11,2
0.5,6,G# (Italian augmented sixth chord),8,3
0.75,6,B- (Major Third with octave doublings),10,2
1.0,6,G# (Italian augmented sixth chord),8,3
1.25,6,B- (Major Third with octave doublings),10,2
1.5,6,G# (Italian augmented sixth chord),8,3
1.75,6,B- (Major Third with octave doublings),10,2
2.0,6,G# (Italian augmented sixth chord),8,3
2.25,6,B- (Major Third with octave doublings),10,2
2.5,6,B- (major triad),10,3
2.75,6,B- (Major Third with octave doublings),10,2
0.0,7,B- (major triad),10,3
1.0,7,A (multiple octaves),9,1
2.0,8,A (Perfect Octave),9,1
0.0,9,E (Perfect Octave),4,1
0.0,10,E (Perfect Octave),4,1
1.0,10,D (Perfect Octave),2,1
1.5,10,C# (Perfect Octave),1,1
2.0,10,D (Perfect Octave),2,1
2.5,10,E (Perfect Octave),4,1
0.0,11,E (Perfect Octave),4,1
1.5,11,G (Perfect Octave),7,1
2.0,11,A (Perfect Octave),9,1
2.5,11,B- (Perfect Octave),10,1
0.0,12,B- (Perfect Octave),10,1
0.5,12,E (Perfect Octave),4,1
1.0,12,F (Perfect Octave),5,1
