epsilon,beta0,beta1
0.0,267,0
0.01418943309464981,267,0
0.02837886618929962,267,0
0.04256829928394943,267,0
0.05675773237859924,267,0
0.07094716547324906,267,0
0.08513659856789886,267,0
0.09932603166254866,267,0
0.11351546475719848,267,0
0.1277048978518483,267,0
0.14189433094649812,267,0
0.1560837640411479,267,0
0.17027319713579772,267,0
0.18446263023044754,267,0
0.19865206332509733,267,0
0.21284149641974714,267,0
0.22703092951439696,267,0
0.24122036260904678,267,0
0.2554097957036966,267,0
0.2695992287983464,267,0
0.28378866189299623,267,0
0.297978094987646,267,0
0.3121675280822958,267,0
0.3263569611769456,267,0
0.34054639427159544,267,0
0.35473582736624526,267,0
0.3689252604608951,267,0
0.3831146935555449,267,0
0.39730412665019466,267,0
0.4114935597448445,267,0
0.4256829928394943,267,0
0.4398724259341441,267,0
0.4540618590287939,267,0
0.46825129212344374,267,0
0.48244072521809356,267,0
0.4966301583127434,267,0
0.5108195914073932,267,0
0.525009024502043,267,0
0.5391984575966928,267,0
0.5533878906913426,267,0
0.5675773237859925,267,0
0.5817667568806422,267,0
0.595956189975292,267,0
0.6101456230699418,267,0
0.6243350561645916,267,0
0.6385244892592414,267,0
0.6527139223538913,267,0
0.6669033554485411,267,0
0.6810927885431909,267,0
0.6952822216378407,267,0
0.7094716547324905,267,0
0.7236610878271403,267,0
0.7378505209217902,267,0
0.75203995401644,267,0
0.7662293871110898,267,0
0.7804188202057396,267,0
0.7946082533003893,267,0
0.8087976863950391,267,0
0.822987119489689,267,0
0.8371765525843388,267,0
0.8513659856789886,267,0
0.8655554187736384,267,0
0.8797448518682882,267,0
0.893934284962938,267,0
0.9081237180575878,267,0
0.9223131511522377,267,0
0.9365025842468875,267,0
0.9506920173415373,267,0
0.9648814504361871,267,0
0.9790708835308369,267,0
0.9932603166254867,267,0
1.0074497497201365,267,0
1.0216391828147864,267,0
1.035828615909436,267,0
1.050018049004086,267,0
1.0642074820987357,267,0
1.0783969151933857,267,0
1.0925863482880354,267,0
1.1067757813826853,267,0
1.120965214477335,267,0
1.135154647571985,267,0
1.1493440806666346,267,0
1.1635335137612843,267,0
1.1777229468559343,267,0
1.191912379950584,267,0
1.206101813045234,267,0
1.2202912461398836,267,0
1.2344806792345335,267,0
1.2486701123291832,267,0
1.2628595454238332,267,0
1.2770489785184829,267,0
1.2912384116131328,267,0
1.3054278447077825,267,0
1.3196172778024324,267,0
1.3338067108970821,267,0
1.347996143991732,267,0
1.3621855770863818,267,0
1.3763750101810315,267,0
1.3905644432756814,267,0
1.4047538763703311,267,0
1.418943309464981,252,0
1.4331327425596307,252,0
1.4473221756542807,252,0
1.4615116087489304,252,0
1.4757010418435803,252,0
1.48989047493823,252,0
1.50407990803288,252,0
1.5182693411275296,252,0
1.5324587742221796,252,0
1.5466482073168293,252,0
1.5608376404114792,252,0
1.575027073506129,252,0
1.5892165066007786,252,0
1.6034059396954286,252,0
1.6175953727900783,252,0
1.6317848058847282,252,0
1.645974238979378,252,0
1.6601636720740278,252,0
1.6743531051686775,252,0
1.6885425382633275,252,0
1.7027319713579772,252,0
1.716921404452627,252,0
1.7311108375472768,252,0
1.7453002706419267,252,0
1.7594897037365764,252,0
1.7736791368312264,252,0
1.787868569925876,252,0
1.802058003020526,252,0
1.8162474361151757,252,0
1.8304368692098254,252,0
1.8446263023044753,252,0
1.858815735399125,252,0
1.873005168493775,252,0
1.8871946015884247,252,0
1.9013840346830746,252,0
1.9155734677777243,252,0
1.9297629008723742,252,0
1.943952333967024,252,0
1.9581417670616739,252,0
1.9723312001563236,252,0
1.9865206332509735,252,0
2.0007100663456234,108,8
2.014899499440273,108,8
2.029088932534923,108,8
2.0432783656295728,108,8
2.0574677987242223,108,8
2.071657231818872,108,8
2.085846664913522,108,8
2.100036098008172,108,8
2.1142255311028215,108,8
2.1284149641974714,108,8
2.1426043972921214,108,8
2.1567938303867713,108,8
2.170983263481421,108,8
2.1851726965760707,108,8
2.1993621296707206,108,8
2.2135515627653706,108,8
2.22774099586002,108,8
2.24193042895467,71,15
2.25611986204932,71,15
2.27030929514397,71,15
2.2844987282386193,71,15
2.2986881613332693,71,15
2.312877594427919,71,15
2.3270670275225687,71,15
2.3412564606172186,71,15
2.3554458937118685,71,15
2.3696353268065184,71,15
2.383824759901168,71,15
2.398014192995818,71,15
2.412203626090468,71,15
2.4263930591851177,71,15
2.440582492279767,71,15
2.454771925374417,13,116
2.468961358469067,13,116
2.483150791563717,13,116
2.4973402246583665,13,116
2.5115296577530164,13,116
2.5257190908476663,13,116
2.539908523942316,13,116
2.5540979570369657,13,116
2.5682873901316157,13,116
2.5824768232262656,13,116
2.596666256320915,13,116
2.610855689415565,13,116
2.625045122510215,13,116
2.639234555604865,13,116
2.6534239886995143,9,120
2.6676134217941643,9,120
2.681802854888814,9,120
2.695992287983464,9,120
2.7101817210781136,9,120
2.7243711541727635,9,120
2.7385605872674135,9,120
2.752750020362063,9,120
2.766939453456713,9,120
2.781128886551363,9,120
2.7953183196460127,9,120
2.8095077527406622,9,120
2.823697185835312,9,120
2.837886618929962,4,58
2.852076052024612,4,58
2.8662654851192615,4,58
2.8804549182139114,4,58
2.8946443513085613,4,58
2.9088337844032113,4,58
2.9230232174978608,4,58
2.9372126505925107,4,58
2.9514020836871606,4,58
2.96559151678181,4,58
